               chr       pos    ci.low   ci.high       lod       pval
chr01_4205504    1 22.364012 18.023011  30.13202 2.9075005 0.24404762
chr02_47907698   2 77.568057  0.000000 107.46909 1.2832806 1.00000000
chr03_3289041    3 34.938011 12.675004  50.10802 3.3825221 0.08432540
chr04_1125394    4  6.795008  0.000000  18.46001 2.3054503 0.62301587
chr05_1185215    5  6.957003  0.000000  16.63401 1.6356250 0.96527778
chr06_32362978   6 18.997011 16.244007  22.92502 4.2697962 0.01289683
chr07_65765157   7 90.237038  0.000000 110.85805 1.3580542 0.99900794
chr08_3751501    8 30.200010 15.618006  92.03405 1.3321637 1.00000000
chr09_586167     9  0.138001  0.000000  84.02904 1.4230769 0.99404762
chr10_219095    10  0.000000  0.000000  96.39405 0.8142002 1.00000000
chr11_4924585   11 30.714027 30.107026  32.28503 7.4185270 0.00000000
chr12_63932679  12 75.268031  1.204001  93.13604 1.3281257 1.00000000
 
               chr        pos    ci.low   ci.high       lod        pval
chr01_89056634   1  91.517060 84.144050 129.41110 1.5596289 0.983134921
chr02_38614728   2  32.668021  9.575008 107.46909 1.0650916 1.000000000
chr03_64136163   3  90.065043  1.387001 120.64508 1.4473156 0.992063492
chr04_1125394    4   6.795008  3.046003  45.18802 4.7123765 0.003968254
chr05_4780398    5  53.307008  0.000000 111.23804 0.9990906 1.000000000
chr06_48543732   6  94.537051 79.776039  98.56206 3.1197399 0.160714286
chr07_67421594   7 105.821046 25.694006 110.85805 2.6177419 0.425595238
chr08_3508769    8  28.539009  0.000000  99.22205 1.4481615 0.992063492
chr09_3333717    9  41.871013 28.465011  51.03402 2.4922083 0.496031746
chr10_60206275  10  49.384022  0.000000  96.39405 0.8127383 1.000000000
chr11_4924585   11  30.714027  8.261009  38.15503 3.4953629 0.067460317
chr12_4682268   12  40.728015  1.204001  87.55804 1.4997955 0.989087302
 
               chr       pos   ci.low   ci.high       lod      pval
chr01_76387469   1 30.132017 14.52701  39.94902 3.1714085 0.1547619
chr02_36787854   2 18.628015  0.00000 107.46909 1.2000673 1.0000000
chr03_64035865   3 88.256042  0.00000 124.56708 1.0459001 1.0000000
chr04_6728572    4 49.056017 28.09101  65.85303 2.9422780 0.2261905
